	friends	verified	longitude	status_count	sentiment	latitude	country	tweet	platform
0	632	False	-2.3200565	106490.0	0.0	52.11937731784101	GB	@moel_bryn https://t.co/qvz1bI2Utb	twitter
1	278	False	-0.3370625	31467.0	-1.0	51.59585202771581	GB	Who wants to rap battle with me on stream tomorrow 👀	twitter
2	169	False	-0.278464	1185.0	-1.0	51.39007140862319	GB	i think she'd Understand but there's like Nothing she can do	twitter
3	195	False	0.0262989999999999	2742.0	-1.0	51.394368557245095	GB	@SoccerSix #SoccerSixNashGrier pleassssssseeeeeee 🙋🏼🙋🏼🙋🏼🙋🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼	twitter
4	572	False	-0.092633	18332.0	0.0	51.35895133231162	GB	@GraceLazard 💖	twitter
5	727	False	-0.1815875	5572.0	0.0	51.361915086985626	GB	All I want is for my @JeffreeStar order to arrive 😭😩	twitter
6	2454	False	-0.0601675	12466.0	0.0	51.54765285291366	GB	My #TeenChoice #ChoiceSongMaleArtist is PILLOWTALK by @zaynmalik https://t.co/RgTKC5VJYW	twitter
7	94505	False	-2.3158515	40455.0	1.0	51.23073568064819	GB	The day to day loneliness is real	twitter
8	1047	False	-4.2417515	16090.0	-1.0	55.85839558130999	GB	@JulietteLewis :hugs:	twitter
9	599	False	1.0901355	33251.0	-1.0	51.27676464045431	GB	@bxstock there's a reason his @ is literally Paedrophile	twitter
10	1111	False	-1.216432	39484.0	-1.0	54.678996915358894	GB	hate when people winge about vegetarians and vegans, maybe you shouldn't eat dead bodies and we'd shut the fuck up	twitter
11	278	False	-0.3370625	31474.0	-1.0	51.59585202771581	GB	@Wackkyyy Yes if you take your shirt off like you did in the skype call. 👀	twitter
12	63	False	-1.3381829999999997	836.0	-1.0	54.75980522083087	GB	Shimano go hard doe	twitter
13	624	False	-0.102162	12598.0	0.0	51.58792119344532	GB	Bc women werent given the education, opportunity nor recognition. So how were you expecting them to reach potential? https://t.co/WhIfCsXrra	twitter
14	198	False	-0.2631405	32655.0	-1.0	51.56521809122742	GB	@MarilynMill_ a whole serial killer you know	twitter
15	1870	False	-0.29743	7396.0	0.0	51.51476447266411	GB	"...and an @OlfactiveStudio Parfums Inspires box. And if @fredericmalle_ had had the Lipstick Rose shower gel...
@Selfridges @Perfume_Society"	twitter
16	11	False	-3.542993	1029733.0	0.0	51.676323	GB	00:57 BST: Temperature: 13.5°C, Wind: SW, 0 mph (ave), 5 mph (gust), Humidity: 79%, Rain (hourly) 0.0 mm, Pressure: 1019 hPa, falling slowly	twitter
17	677	False	-5.928412999999999	5140.0	-1.0	54.59591680133457	GB	Trying not to get annoyed at things you can't change is superrrrrrrrr hard	twitter
18	5009	False	-1.08333	543.0	0.0	51.2667	GB	Just posted a photo @ Basingstoke https://t.co/uv70uvNWIC	twitter
19	363	False	-0.12731805	4975.0	-1.0	51.50711486	GB	Royal Courts of Justice, Strand @ London, United Kingdom https://t.co/oxIUctOuEX	twitter
20	153	False	-0.130356	58.0	1.0	50.84034002985045	GB	A huge thank you to @absoluteradio for turning all night revision into a sing along session. Love the app  :)	twitter
21	721	False	-0.018734	4331.0	1.0	51.599263128359	GB	@jessiechar the Sketch/Nylas Meetup is perfect. Would be great to have one every night given our limited time out there.	twitter
22	1394	False	-6.062353500000001	137139.0	1.0	54.51603989375694	GB	@DeIeBird I'm about to watch The sound of drums	twitter
23	338	False	-2.233480000000001	3005.0	0.0	53.456983702037085	GB	@anniewoodallxo LUV YOU	twitter
24	359	False	-0.0777585	53332.0	-1.0	51.79661280900454	GB	Aww ☺️ he looks big for two years  https://t.co/obfGUakW7D	twitter
25	209	False	0.0262989999999999	89.0	-1.0	51.394368557245095	GB	More than 20 billion packs of @KITKAT are eaten per year #Nestle  https://t.co/sRQWDwIwlT	twitter
26	215	False	-0.0350195	2901.0	-1.0	51.51483911149297	GB	Did you sacrifice your sister or you sacrificed something for your sister? https://t.co/OZNx0IPHc5	twitter
27	278	False	-0.3370625	31474.0	0.0	51.59585202771581	GB	I Disliked a @YouTube video from @ninjaaye https://t.co/FcgpKGQL1g  WHY I SHOULD JOIN VALE! #VALECCRC @ValeFancier @ValePats @MythUkie	twitter
28	313	False	-0.130356	2482.0	-1.0	50.84034002985045	GB	@_kirst_a mine is even lower than that 😂😂	twitter
29	102	False	-3.2209625000000006	97.0	0.0	51.66512059670472	GB	Awesome night with @tenovuscancer with the send off party! #togetherstronger and @FAWales captain. #honour https://t.co/ItBYWwibe7	twitter
30	160	False	-2.233480000000001	11120.0	0.0	53.456983702037085	GB	Sit back and disengage	twitter
31	319	False	-1.5654900000000005	94646.0	-1.0	53.802038177843606	GB	would tactically nut	twitter
32	220	False	-1.13067	507.0	-1.0	52.626293532909706	GB	Cute goodies from today, it was fun even though I felt too sad so I had to leave early😅 https://t.co/Rk344bwvYE	twitter
33	820	False	-0.130356	275.0	-1.0	50.84034002985045	GB	#robotromance	twitter
34	797	False	-2.664049	19428.0	1.0	53.33373983363341	GB	@samsmith5034 @Mattbowes80 @NextBigPod fair point Dan/Bizier numbers. I'm still on a comedown after Sunday haha, want another stadium fight!	twitter
35	190	False	-1.7527905	773.0	-1.0	55.04009406199007	GB	Hahahah not being second choiceeee	twitter
36	1055	False	-0.1815875	3648.0	-1.0	51.361915086985626	GB	Omg Aunty Helen is on snapchat!! Yasss 🙌🏻   https://t.co/D5SSVw017U	twitter
37	134	False	-3.11833333	30270.0	0.0	53.40638889	GB	Wind 1.5 mph SSE. Barometer 1028.0 mb, Falling slowly. Temperature 10.6°C. Rain today 0.0 mm. Humidity 86% - https://t.co/70pVDVHU7H	twitter
38	2984	False	-1.5654900000000005	16851.0	0.0	53.802038177843606	GB	@MariaPulk @3coolkatz @SquirtTheCat @The_Tardis_Toms @Mr_Pie @MrMoustacheCat @RosieRoseLA  :) xxx https://t.co/3SY0Bb20Gk	twitter
39	236	False	-0.018734	39453.0	-1.0	51.599263128359	GB	@DailyMesut Kane next year bro	twitter
40	266	False	-2.0964385	4634.0	1.0	53.47045917281744	GB	@ainsleya_ awww babe!!!! Imagine.	twitter
41	456	False	-2.2038685000000005	1406.0	-1.0	52.530541925714566	GB	Evan is a guitier player	twitter
42	0	False	-1.39231968	1702462.0	0.0	50.91808335	GB	I Got A Feeling by The Four Tops is #nowplaying in Shooting Star, Southampton.	twitter
43	5009	False	-1.08333	544.0	0.0	51.2667	GB	Just posted a photo @ Basingstoke https://t.co/4Bi2jfnLmB	twitter
44	2369	False	-0.18919	126801.0	0.0	51.50379309930915	GB	Looks like the MCU has found its CAPTAIN MARVEL star, and it's a recent Oscar winner... https://t.co/kRZSPs0Afu https://t.co/ImnAMYmP5H	twitter
45	1008	False	-2.5933005	1828.0	1.0	53.38263616563445	GB	Would love a spoon rn	twitter
46	641	False	-0.619748	43189.0	-1.0	51.70706023305607	GB	@erincadams Same! The amount of times I've had to say 'sorry I'll just get my manager.' I've got used to the majority of it though, I think	twitter
47	2269	False	-6.290965500000001	8860.0	-1.0	54.86376699902865	GB	@DanaSchwartzzz it's the same with cleaning up	twitter
48	659	False	-2.298134	92253.0	1.0	52.916607589459744	GB	Si Jesús tropezó, por qué él no habría de hacerlo? https://t.co/o7sGfg5WkG	twitter
49	800	False	-2.915427	4226.0	-1.0	53.419914903420405	GB	@aawestby waveyyyyy	twitter
50	1065	False	-0.159403	113256.0	1.0	51.54244893903978	GB	127 - Baby, this ride is just getting started.	twitter
51	1877	False	-4.8915935	7161.0	-1.0	55.888357164286205	GB	this!! https://t.co/BpyTfTrU3b	twitter
52	203	False	-0.6839585	1299.0	0.0	51.636640259876245	GB	soo accurate  https://t.co/0Q4nvR8Vrb	twitter
53	2457	False	-2.6772815	40803.0	-1.0	51.63335610131152	GB	small town I guess  https://t.co/fAQo7Gt3Ug	twitter
54	770	False	-4.2417515	45668.0	1.0	55.85839558130999	GB	Time for bed xxx https://t.co/rqDlsVasAG	twitter
55	465	False	-0.0601675	87051.0	0.0	51.54765285291366	GB	J'suis archi fine en vrai c'est mtn je crame, on va voir si jv pas devenir une thick girl mtn	twitter
56	734	False	-0.0929105	35183.0	1.0	51.51448212166734	GB	@5N_Afzal @Ephemeral321 @whatonomy We should ask!!	twitter
57	283	False	-2.298134	12944.0	-1.0	52.916607589459744	GB	@fuckrunar @Optipal Yeh do it	twitter
58	838	False	-0.8027400000000003	4301.0	1.0	51.07780640731842	GB	Don't need no man in my life!!	twitter
59	751	False	-2.4225325	11698.0	-1.0	51.54219923947426	GB	if my neighbours could stop shouting that would be great	twitter
60	1137	True	-0.216108	21791.0	1.0	51.49839328713241	GB	@natalie_rw thank youuu Nat!	twitter
61	1596	False	-1.7396195	107722.0	-1.0	55.13511300814875	GB	@josh_bennett12 be better if it wasn't my collar 😌	twitter
62	4333	False	-0.1937195	15352.0	-1.0	51.451674884083495	GB	@JonTolleyTweets stop it	twitter
63	2951	False	-4.2417515	19949.0	-1.0	55.85839558130999	GB	Cow, I met your mother! #farmfilms	twitter
64	1387	False	0.2105895	18628.0	0.0	51.56060768459776	GB	"Reg this wks #GameofThrones:
One scene had folks we haven't seen in ages,talking bout places we've not seen w/reveal of a minor s3 dude. Wtf"	twitter
65	764	False	-3.919737	7605.0	-1.0	55.77871485964874	GB	DONT STOP MOVING , CAN YOU FEEL THE MUSIC	twitter
66	76	False	-1.3381829999999997	2.0	0.0	54.75980522083087	GB	@AnthonyAshurst @AndroidAuth https://t.co/NFGshSeVDG	twitter
67	283	False	-1.285562	2470.0	-1.0	53.49745810140566	GB	"""Never trust a southerner"" ffs Nath 😹😹"	twitter
68	1923	False	-2.4874310000000004	25049.0	-1.0	53.53073471642859	GB	My head is killing😴	twitter
69	2078	False	-0.4423609999999999	79871.0	0.0	51.53707969560851	GB	@JamiePaul587 @Allan22_WHU https://t.co/io6iSwt2hj	twitter
